[47.750305, 0.84375]
[8852427.0, 0.84375]
[1268.5112, 1.0]
[747.3367, 1.0]
[266.64136, 0.90625]
[3043.6333, 0.8125]
[404.2776, 0.1875]
[86.20941, 0.1875]
[22.72787, 0.875]
[14.850152, 0.625]
[2.783678, 0.71875]
[9.355593, 0.65625]
[5.8541265, 0.5625]
[5.778592, 0.53125]
[3.8477726, 0.71875]
[7.3926344, 0.71875]
[6.491521, 0.75]
[5.063827, 0.84375]
[3.806259, 0.75]
[3.7277904, 0.75]
[3.797635, 0.625]
[4.508429, 0.8125]
[5.7034597, 0.90625]
[12.752132, 0.71875]
[31.910854, 1.0]
[27.35056, 0.9375]
[14.548904, 0.84375]
[9.558185, 0.71875]
[3.858557, 0.5]
[3.6144, 0.8125]
[5.729376, 0.3125]
[11.698545, 0.6875]
[26.753534, 0.9375]
[31.242296, 0.84375]
[50.008003, 0.96875]
[39.794807, 0.8125]
[37.041866, 0.9375]
[6.260647, 0.9375]
[4.7292366, 0.8125]
[5.433176, 0.78125]
[5.0460343, 0.59375]
[6.946208, 0.78125]
[10.093382, 0.8125]
[2.8502264, 0.84375]
[1.8949112, 0.71875]
[2.9078193, 0.90625]
[10.288429, 0.90625]
[15.52499, 0.9375]
[13.57036, 0.90625]
[11.13602, 0.75]
[33.60679, 0.96875]
[61.373234, 0.875]
[99.40903, 0.25]
[21.161499, 0.84375]
[7.2606106, 0.375]
[4.7357187, 0.84375]
[1.8010526, 0.78125]
[1.2454523, 0.78125]
[0.8932259, 0.5625]
[1.1948633, 0.75]
[2.2699418, 0.5]
[4.398791, 0.75]
[5.112088, 0.3125]
[8.380533, 0.78125]
[20.145126, 0.90625]
[24.511211, 0.78125]
[38.76509, 1.0]
[16.110788, 0.8125]
[10.377619, 0.875]
[15.25681, 0.84375]
[13.030879, 0.8125]
[10.1478195, 0.78125]
[15.081698, 0.59375]
[5.087148, 0.90625]
[1.2116184, 0.8125]
[1.5061038, 0.75]
[1.3440875, 0.8125]
[1.5613018, 0.65625]
[5.8257203, 0.8125]
[16.583342, 1.0]
[30.08821, 0.8125]
[35.36904, 1.0]
[18.110443, 0.84375]
[14.09215, 1.0]
[19.753931, 0.8125]
[23.705988, 0.40625]
[9.157906, 0.78125]
[7.401547, 0.34375]
[5.6513095, 0.84375]
[4.38616, 0.625]
[4.783813, 0.90625]
[8.052882, 0.5625]
[3.767486, 0.90625]
[5.152208, 0.53125]
[5.8634267, 0.84375]
[5.3380075, 0.46875]
[11.820719, 0.8125]
[19.095007, 0.96875]
[13.771154, 0.9375]
[10.939404, 0.96875]
[14.4629965, 1.0]
[8.645279, 0.96875]
[18.312033, 1.0]
[21.50441, 0.75]
[25.308163, 0.1875]
[17.30748, 0.90625]
[24.002441, 0.21875]
[29.809631, 0.84375]
[14.466746, 0.40625]
[6.7672744, 0.8125]
[3.5123005, 0.84375]
[1.0380138, 0.84375]
[0.5846721, 0.8125]
[0.5886017, 0.65625]
[1.1347008, 0.5]
[1.2632889, 0.625]
[1.1282109, 0.34375]
[0.8371805, 0.78125]
[0.688298, 0.59375]
[2.2866278, 0.78125]
[4.1497917, 0.78125]
[6.703745, 0.8125]
[13.886037, 0.53125]
[11.316395, 0.65625]
[12.322019, 0.875]
[7.78317, 0.875]
[6.1781845, 0.3125]
[2.9348505, 0.875]
[1.9256353, 0.5625]
[2.5360398, 0.75]
[3.4717817, 0.5]
[2.11476, 0.9375]
[1.1324667, 0.84375]
[0.41325304, 0.71875]
[0.92132676, 0.65625]
[2.9791696, 0.78125]
[6.0629587, 0.78125]
[1.7525796, 0.9375]
[3.1303988, 0.8125]
[3.7873106, 0.6875]
[2.1927805, 0.78125]
[5.247232, 0.03125]
[5.930621, 0.9375]
[8.826728, 0.25]
[5.3309255, 0.78125]
[6.198951, 0.3125]
[1.3500144, 0.84375]
[1.6631287, 0.28125]
[2.0940406, 0.8125]
[3.6813762, 0.5]
[1.7366902, 0.8125]
[3.2394767, 0.25]
[3.1473012, 0.875]
[5.645186, 0.21875]
[3.6948004, 0.875]
[6.3282547, 0.09375]
[3.9099143, 0.6875]
[7.011712, 0.25]
[1.186923, 0.78125]
[2.4761155, 0.25]
[4.2939057, 0.75]
[5.8049555, 0.21875]
[2.169921, 0.75]
[5.2982388, 0.15625]
[3.9979508, 0.75]
[5.847375, 0.09375]
[2.4376292, 0.75]
[5.90794, 0.3125]
[5.0520563, 0.8125]
[10.7028055, 0.15625]
[3.3116684, 0.8125]
[7.8790016, 0.15625]
[4.0281644, 0.8125]
[10.038729, 0.125]
[5.3948793, 0.8125]
[12.676821, 0.15625]
[1.0844299, 0.875]
[1.5971645, 0.375]
[2.703816, 0.78125]
[11.183565, 0.09375]
[5.130299, 0.8125]
[11.176428, 0.15625]
[1.2125108, 0.8125]
[1.7481651, 0.6875]
[2.0188076, 0.3125]
[3.8019035, 0.84375]
[14.85284, 0.1875]
[2.2105167, 0.78125]
[0.6035806, 0.53125]
[2.0106819, 0.875]
[11.955288, 0.125]
[4.372511, 0.78125]
[11.458361, 0.15625]
[3.9301267, 0.78125]
[13.140599, 0.09375]
[0.7805743, 0.6875]
[2.0267015, 0.59375]
[6.1657505, 0.09375]
[4.1621876, 0.84375]
[13.45072, 0.28125]
[8.380413, 1.0]
[23.48843, 0.78125]
[58.90868, 0.125]
[33.05625, 0.15625]
[21.09998, 0.6875]
[54.091324, 0.15625]
[11.789022, 0.15625]
[34.64234, 0.78125]
[82.982025, 0.15625]
[11.907448, 0.3125]
[27.757633, 0.71875]
[41.62902, 0.125]
[4.2515, 0.84375]
[10.101007, 0.25]
[68.42552, 0.875]
[69.12215, 0.0625]
[53.704918, 0.15625]
[33.565098, 0.0625]
[2.6635273, 0.78125]
[47.581238, 0.71875]
[55.624382, 0.28125]
[22.97844, 0.1875]
[6.281663, 0.9375]
[2.7411106, 0.8125]
[2.947537, 0.375]
[3.9996436, 0.8125]
[10.767538, 0.125]
[2.4739418, 0.9375]
[3.6637707, 0.375]
[3.3813338, 0.84375]
[18.676521, 0.15625]
[12.803987, 0.84375]
[54.60847, 0.09375]
[4.9758053, 0.15625]
[4.294422, 0.6875]
[8.709786, 0.125]
[1.6703128, 0.9375]
[4.0164933, 0.4375]
[5.451708, 0.71875]
[16.089172, 0.1875]
[5.1203284, 0.71875]
[12.077581, 0.125]
[5.27466, 0.84375]
[10.89412, 0.125]
[2.440856, 0.96875]
[6.521134, 0.15625]
[14.528209, 0.90625]
[39.09283, 0.15625]
[2.9152944, 0.3125]
[1.388526, 0.8125]
[2.4420109, 0.21875]
[10.604437, 0.8125]
[40.14158, 0.03125]
[2.1377492, 0.8125]
[8.067734, 0.84375]
[28.550642, 0.15625]
[1.7474473, 0.90625]
[1.6177084, 0.59375]
[8.142178, 0.875]
[19.747871, 0.03125]
[1.5937703, 0.90625]
[4.117948, 0.21875]
[13.015278, 0.75]
[21.885542, 0.09375]
[1.2269614, 0.78125]
[2.804781, 0.1875]
[4.9162903, 0.84375]
[10.877537, 0.15625]
[1.9352541, 0.96875]
[10.460039, 0.8125]
[28.173578, 0.21875]
[1.8439267, 0.71875]
[0.51541996, 0.78125]
[0.7776907, 0.1875]
[1.541055, 0.875]
[5.789, 0.03125]
[8.866207, 0.8125]
[21.693659, 0.28125]
[2.3165913, 0.96875]
[6.3061767, 0.75]
[15.543368, 0.21875]
[1.9041189, 0.71875]
[6.056018, 0.21875]
[2.4313269, 0.78125]
[6.9079194, 0.125]
[11.294613, 0.90625]
[16.679163, 0.1875]
[0.8834325, 0.875]
[0.42401358, 0.65625]
[0.4502856, 0.6875]
[0.46880084, 0.6875]
[0.8075692, 0.90625]
[2.73389, 0.15625]
[4.339913, 0.625]
[9.357796, 0.0625]
[0.90542656, 0.65625]
[1.3032687, 0.71875]
[4.0271034, 0.3125]
[19.467419, 0.84375]
[30.983707, 0.1875]
[3.02112, 1.0]
[140.09186, 0.96875]
[112.79811, 0.28125]
[56.984833, 0.21875]
[6.943434, 0.96875]
[19.968697, 0.84375]
[58.687714, 0.21875]
[13.239746, 0.1875]
[11.798333, 0.875]
[38.168526, 0.25]
[6.23878, 0.75]
[40.528442, 0.3125]
[12.554943, 0.875]
[20.931887, 0.09375]
[2.4572577, 0.90625]
[3.1475205, 0.3125]
[1.6191218, 0.8125]
[1.349489, 0.4375]
[0.87153906, 0.6875]
[1.558281, 0.21875]
[2.5281625, 0.84375]
[2.6446867, 0.625]
[4.827385, 0.6875]
[10.129583, 0.15625]
[6.381978, 0.78125]
[6.462183, 0.15625]
[5.4412265, 0.8125]
[8.22238, 0.28125]
[5.368643, 0.84375]
[8.410843, 0.21875]
[2.0464697, 0.8125]
[2.7393749, 0.1875]
[3.961639, 0.8125]
[6.988795, 0.25]
[8.219565, 0.6875]
[13.485058, 0.1875]
[5.021381, 0.90625]
[7.636418, 0.25]
[20.283909, 0.78125]
[22.347265, 0.125]
[2.0776591, 0.75]
[4.855547, 0.0625]
[8.880551, 0.78125]
[1.6098343, 0.875]
[0.6440514, 0.875]
[0.238002, 0.78125]
[0.23903364, 0.84375]
[0.14949137, 0.90625]
[0.16843937, 0.875]
[0.1880611, 0.59375]
[1.673117, 0.75]
[0.23597081, 0.6875]
[0.27838922, 0.3125]
[0.18682486, 0.65625]
[0.09666449, 0.71875]
[0.094200455, 0.6875]
[0.19570673, 0.8125]
[1.6786726, 0.125]
[0.0845677, 0.90625]
[0.15174289, 0.625]
[0.09490937, 0.75]
[0.104631156, 0.5]
[0.24096557, 0.6875]
